country_code,shop_id,date,item_id,category_slug,category_id
id,1368540320,2026-07-03,42717296336,262779957,262779957
id,1368540320,2026-07-03,43818386633,262779957,262779957
id,1368540320,2026-07-03,40216847326,262779957,262779957
id,1368540320,2026-07-03,40004031932,262779957,262779957
id,1368540320,2026-07-03,29141311734,262779957,262779957
id,1368540320,2026-07-03,43868361582,262779957,262779957
id,1368540320,2026-07-03,40067607690,262780771,262780771
id,1368540320,2026-07-03,43317569775,262780771,262780771
id,1368540320,2026-07-03,51712602574,262780771,262780771
id,1368540320,2026-07-03,46662299954,262780771,262780771
id,1368540320,2026-07-03,40004031932,262780771,262780771
id,1368540320,2026-07-03,41753991537,262780771,262780771
id,1368540320,2026-07-03,40381755746,262780771,262780771
id,1368540320,2026-07-03,49162304776,262780771,262780771
id,1368540320,2026-07-03,40118761850,262780833,262780833
id,1368540320,2026-07-03,28934445366,262780833,262780833
id,1368540320,2026-07-03,56600897084,262780833,262780833
id,1368540320,2026-07-03,50903219820,262780833,262780833
id,1368540320,2026-07-03,28934445366,262781097,262781097
id,1368540320,2026-07-03,54952247520,262781097,262781097
id,1368540320,2026-07-03,56600897084,262781097,262781097
id,1368540320,2026-07-03,50900285453,262781097,262781097
id,1368540320,2026-07-03,57161987975,262782016,262782016
id,1368540320,2026-07-03,54412798940,262782016,262782016
id,1368540320,2026-07-03,51162804412,262782016,262782016
id,1368540320,2026-07-03,51712602574,262782016,262782016
id,1368540320,2026-07-03,46662299954,262782016,262782016
id,1368540320,2026-07-03,40381755746,262782016,262782016
id,1368540320,2026-07-03,49162304776,262782016,262782016
id,1368540320,2026-07-03,56810310860,266725540,266725540
id,1368540320,2026-07-03,50900285453,266725540,266725540
id,1368540320,2026-07-03,43131681384,266725540,266725540
id,1379527329,2026-07-01,28767473302,256769110,256769110
id,1379527329,2026-07-01,51752816901,256769111,256769111
id,1379527329,2026-07-01,55852808572,256769111,256769111
id,1379527329,2026-07-01,56752813162,256769111,256769111
