country_code,platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message
id,Shopee,758395205,get_category,101692,100953,Bottles & Bottle accessories,Bottles & Bottle accessories,FALSE,
id,Shopee,758395205,get_category,101691,100953,Bottle Cooler Bag,Bottle Cooler Bag,FALSE,
id,Shopee,758395205,get_category,100674,100632,Baby Travel Essentials,Baby Travel Essentials,TRUE,
id,Shopee,758395205,get_category,100952,100674,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,100951,100674,Child Harnesses & Leashes,Child Harnesses & Leashes,FALSE,
id,Shopee,758395205,get_category,100950,100674,Diaper Bags,Diaper Bags,FALSE,
id,Shopee,758395205,get_category,100949,100674,Car & Motorbike Seats Accessories,Car & Motorbike Seats Accessories,FALSE,
id,Shopee,758395205,get_category,100948,100674,Car & Motorbike Seats,Car & Motorbike Seats,FALSE,
id,Shopee,758395205,get_category,100947,100674,Stroller Accessories,Stroller Accessories,FALSE,
id,Shopee,758395205,get_category,100946,100674,Strollers & Travel Systems,Strollers & Travel Systems,FALSE,
id,Shopee,758395205,get_category,100945,100674,Baby Carrier,Baby Carrier,FALSE,
id,Shopee,758395205,get_category,100633,0,Baby & Kids Fashion,Baby & Kids Fashion,TRUE,
id,Shopee,758395205,get_category,100694,100633,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,100693,100633,Girl Shoes,Girl Shoes,TRUE,
id,Shopee,758395205,get_category,101072,100693,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101071,100693,Flats,Sepatu Teplek (Flats),FALSE,
id,Shopee,758395205,get_category,101070,100693,Flip Flops,Sandal Jepit,FALSE,
id,Shopee,758395205,get_category,101069,100693,Loafers,Sepatu Loafers,FALSE,
id,Shopee,758395205,get_category,101068,100693,Sneakers,Sepatu Kets (Sneakers),FALSE,
id,Shopee,758395205,get_category,101067,100693,Sandals,Sandal,FALSE,
id,Shopee,758395205,get_category,101066,100693,Boots,Sepatu Bot,FALSE,
id,Shopee,758395205,get_category,100692,100633,Boy Shoes,Boy Shoes,TRUE,
id,Shopee,758395205,get_category,101065,100692,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101064,100692,Loafers,Sepatu Loafers,FALSE,
id,Shopee,758395205,get_category,101063,100692,Formal Shoes,Formal Shoes,FALSE,
id,Shopee,758395205,get_category,101062,100692,Flip Flops,Sandal Jepit,FALSE,
id,Shopee,758395205,get_category,101061,100692,Sneakers,Sepatu Kets (Sneakers),FALSE,
id,Shopee,758395205,get_category,101060,100692,Sandals,Sandal,FALSE,
id,Shopee,758395205,get_category,101059,100692,Boots,Sepatu Bot,FALSE,
id,Shopee,758395205,get_category,100691,100633,Girl Clothes,Girl Clothes,TRUE,
id,Shopee,758395205,get_category,101058,100691,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101057,100691,Suits & Sets,Jas & Setelan,FALSE,
id,Shopee,758395205,get_category,101056,100691,Dresses,Gaun / Dress,FALSE,
id,Shopee,758395205,get_category,101055,100691,"Rompers, Jumpsuits & Overalls","Rompers, Jumpsuits & Overalls",FALSE,
id,Shopee,758395205,get_category,101054,100691,Bottoms,Bawahan,TRUE,
